1102
9 36
5 5 926
1 6 878
2 5 710
1 2 596
1 3 332
3 3 523
3 4 447
0 4 957
2 3 265
0 2 425
0 5 449
5 6 795
8 19
4 6 627
4 7 959
6 7 459
1 5 182
3 6 429
3 5 175
0 6 15
0 7 63
0 4 657
2 4 736
0 2 335
0 3 161
2 6 508
1 4 965
0 0 56
2 3 38
3 7 843
5 7 684
1 2 369
8 17
2 2 251
1 4 253
2 3 872
0 3 558
2 5 49
0 1 112
2 7 338
0 5 555
4 6 662
1 6 75
5 5 343
3 7 327
1 5 140
1 3 765
0 6 226
5 7 903
2 4 705
2 1
0 1 161
8 28
3 3 197
4 6 611
1 3 99
2 7 583
2 5 54
3 5 848
2 6 655
1 4 615
3 4 987
0 1 661
5 7 529
6 7 484
6 6 423
1 2 38
0 3 108
5 5 997
3 6 248
2 4 150
0 5 351
0 0 3
0 2 239
0 6 56
3 7 206
4 5 836
4 7 912
1 5 489
0 7 984
1 6 337
9 36
1 7 39
3 6 590
1 6 251
1 3 815
0 1 468
0 5 617
5 5 866
1 1 407
5 7 442
2 2 326
5 6 989
5 8 832
2 5 252
7 8 970
1 2 314
1 8 792
4 4 917
3 8 387
4 8 996
1 4 386
6 8 474
0 2 580
8 8 978
2 3 397
0 8 858
6 7 363
0 6 105
3 7 426
4 5 636
0 7 406
2 8 606
2 7 654
2 6 282
3 4 40
3 5 592
0 3 92
2 1
0 1 361
9 36
4 4 102
5 6 340
1 8 947
0 6 127
0 2 17
0 1 790
1 6 711
4 6 656
6 8 291
1 2 43
1 7 104
3 5 789
5 8 212
5 5 812
4 5 472
3 4 592
5 7 197
4 8 88
2 5 737
0 7 663
0 8 335
0 4 290
2 6 405
1 5 898
1 4 97
4 7 830
3 8 157
0 3 159
2 2 666
6 6 387
2 4 75
6 7 62
1 3 909
8 8 767
0 5 67
0 0 750
10 9
5 6 270
0 4 381
7 8 28
1 4 325
1 9 475
3 4 500
2 4 171
2 7 753
2 6 326
4 6
0 2 837
1 2 521
2 3 593
0 1 763
0 3 539
1 3 464
9 36
4 8 713
2 7 44
0 3 450
0 0 217
1 8 498
5 8 482
0 2 872
4 5 400
4 4 2
3 7 91
1 6 132
0 5 76
3 4 534
2 6 71
2 5 206
4 6 947
5 6 192
3 8 761
0 6 874
1 4 459
2 4 634
1 2 786
6 6 798
2 3 191
0 4 289
6 8 354
4 7 335
0 8 760
7 8 846
1 5 984
1 3 2
0 7 320
0 1 271
6 7 538
8 8 410
5 5 867
5 10
0 2 308
0 3 634
0 0 309
2 4 18
2 3 93
1 1 429
1 4 476
0 4 873
1 2 158
0 1 746
8 28
6 7 815
1 3 291
4 5 308
1 2 263
3 4 180
1 5 78
0 2 861
5 6 498
7 7 825
5 5 301
0 0 790
3 5 579
1 4 905
2 5 592
0 7 280
2 6 312
0 4 255
3 7 89
1 6 330
4 7 280
0 1 764
0 5 161
2 3 155
0 3 615
0 6 565
6 6 451
2 4 699
1 7 388
9 36
3 8 277
1 2 997
4 6 154
2 7 946
0 3 57
2 6 568
0 1 689
1 1 110
0 2 620
4 8 457
4 5 959
0 4 607
6 7 119
4 4 983
3 5 542
5 5 74
5 8 627
2 4 729
5 7 738
0 8 577
2 3 566
2 5 410
8 8 506
4 7 625
0 0 170
3 7 348
1 8 732
3 4 497
1 4 64
1 6 511
5 6 59
7 8 776
2 8 359
1 5 466
6 8 530
0 6 594
4 6
0 2 550
3 3 112
0 3 760
1 1 591
1 2 43
2 3 906
8 28
3 4 366
1 4 731
0 6 527
1 3 866
5 5 838
2 7 338
3 6 590
3 5 9
4 5 124
4 4 678
2 5 216
0 1 452
4 7 416
2 3 889
1 2 657
2 6 283
2 2 195
0 7 166
1 7 910
6 7 463
5 6 52
2 4 702
5 7 769
0 3 647
4 6 37
0 2 830
0 4 104
3 7 487
7 19
2 5 564
0 1 265
1 4 750
3 4 150
3 5 708
2 6 23
1 3 316
0 2 918
5 6 194
0 3 248
0 5 206
2 4 156
3 6 365
1 5 633
1 2 57
1 6 879
0 4 646
4 5 446
0 0 266
6 15
0 4 253
1 4 676
3 4 771
2 5 285
1 5 275
0 0 47
4 5 830
2 2 117
2 3 230
3 3 199
1 2 330
0 5 889
0 3 255
3 5 531
2 4 32
10 45
0 5 596
0 1 516
2 7 183
0 6 669
8 8 232
1 8 199
2 3 868
4 4 640
3 7 207
6 7 28
4 7 732
0 2 892
3 9 704
6 8 488
4 5 790
2 5 372
1 9 761
0 4 377
7 7 182
3 6 679
0 8 280
8 9 240
4 9 337
3 4 753
7 9 162
1 7 120
3 3 878
0 7 70
2 6 628
1 6 857
2 4 689
3 5 505
4 6 466
2 9 744
6 6 981
1 4 412
4 8 651
6 9 760
1 2 530
1 5 234
5 6 995
2 8 640
7 8 419
5 7 157
0 9 969
4 6
2 2 80
0 1 196
2 3 470
0 2 643
1 2 208
1 3 641
6 15
1 2 735
4 5 327
0 3 582
0 5 316
4 4 403
1 4 517
2 2 468
3 3 763
2 4 777
1 1 564
3 4 841
0 2 148
2 5 668
2 3 475
0 4 225
2 1
0 1 635
10 13
1 8 628
2 7 594
3 6 145
3 5 870
7 9 672
0 4 165
0 2 593
1 4 546
2 9 752
0 6 481
2 6 822
3 4 449
4 8 485
6 15
5 5 485
1 1 320
2 4 309
1 4 959
1 5 492
4 5 265
2 3 928
1 3 392
2 5 980
0 2 168
3 5 777
0 4 99
0 1 866
1 2 969
3 3 105
5 10
3 3 849
1 2 885
2 2 777
3 4 450
2 4 874
1 3 448
0 3 885
1 4 74
2 3 354
0 2 792
10 45
1 6 81
3 5 616
0 2 515
0 6 300
6 7 155
3 3 492
4 7 943
1 2 341
4 8 945
2 8 586
1 3 76
4 9 715
1 7 774
5 6 256
4 6 244
0 9 239
0 1 461
0 7 966
0 8 427
8 9 872
5 9 948
2 3 276
4 5 773
0 5 241
2 9 848
0 3 704
1 5 899
0 0 218
7 8 161
5 7 803
1 1 314
5 5 79
1 9 247
3 4 453
2 5 661
1 4 254
4 4 38
3 6 202
3 9 848
2 4 230
7 9 267
5 8 321
6 9 54
3 8 540
2 7 714
10 42
1 9 242
3 6 113
3 4 28
1 8 99
0 1 681
6 8 698
2 7 190
2 9 891
1 5 246
1 3 314
4 8 84
4 9 532
5 5 660
4 7 683
0 4 563
6 7 619
1 4 324
2 2 33
6 6 294
4 6 216
0 5 469
0 3 65
1 6 161
0 9 250
1 1 363
7 9 656
0 6 918
4 5 801
1 2 397
8 9 46
1 7 21
2 8 467
0 8 99
9 9 47
5 7 334
3 8 422
2 5 879
0 2 811
5 6 792
3 9 798
2 6 328
7 8 601
7 21
0 1 923
1 2 728
1 5 547
2 6 15
3 4 552
0 5 488
2 3 784
3 5 59
0 4 674
2 4 493
1 3 694
2 5 617
1 6 249
4 6 632
1 4 217
0 6 524
0 3 574
0 2 751
4 5 182
5 5 514
3 6 141
2 1
0 1 260
6 5
1 4 73
0 3 937
3 5 126
0 4 443
1 2 641
6 15
1 5 917
0 4 186
1 3 493
2 5 4
2 3 668
1 2 22
2 4 56
2 2 16
4 5 458
1 4 762
0 1 479
0 0 742
0 5 440
0 2 569
1 1 181
5 10
0 0 742
4 4 179
3 4 646
1 3 251
0 2 49
0 4 556
2 2 979
0 1 771
1 2 781
0 3 438
4 6
0 3 454
1 3 139
1 2 746
2 3 710
0 2 200
2 2 130
9 36
3 6 453
5 8 345
6 6 997
5 7 611
4 6 747
3 4 234
1 4 821
0 4 865
2 2 523
0 1 220
8 8 549
2 8 352
3 8 865
4 8 905
1 7 929
7 8 886
0 8 816
0 2 473
5 6 149
3 7 161
1 3 102
7 7 543
0 6 811
5 5 340
6 7 437
1 6 895
1 5 261
4 5 940
4 7 487
6 8 549
1 2 399
1 1 500
2 6 17
2 7 729
1 8 407
0 7 411
5 8
0 2 356
0 4 376
1 2 34
4 4 868
1 3 700
2 4 156
0 1 726
0 3 34
6 15
1 3 640
4 4 245
0 3 718
2 4 408
3 5 599
0 1 868
0 4 690
5 5 815
2 5 554
0 0 235
4 5 221
2 3 87
2 2 28
0 2 452
3 4 226
10 34
8 9 841
2 3 995
1 1 113
2 6 390
4 4 549
5 9 340
7 7 178
4 6 920
3 8 277
6 6 60
3 7 958
5 8 82
6 7 28
0 0 590
3 6 476
0 2 711
1 8 469
2 8 174
0 6 973
4 7 227
6 8 8
5 6 609
0 1 334
1 4 24
5 5 315
0 9 371
7 8 767
1 6 810
1 3 931
4 9 68
1 9 629
0 3 73
0 4 188
1 2 382
2 1
0 1 877
3 3
0 1 73
0 0 722
1 2 737
3 3
0 2 698
1 2 928
0 0 810
2 1
0 1 193
10 45
0 4 240
1 9 368
4 7 107
0 9 638
2 3 898
6 9 466
1 7 923
6 6 514
2 7 503
3 5 626
4 9 175
3 9 312
3 4 158
0 7 819
5 5 594
8 9 605
0 2 686
0 1 257
7 8 847
4 6 545
0 3 972
2 4 540
0 5 789
5 7 839
1 1 965
1 8 955
5 8 655
1 4 605
2 6 501
3 8 776
4 4 85
0 0 630
2 2 352
2 5 267
6 8 131
5 9 294
6 7 172
0 6 700
2 9 238
0 8 603
1 3 707
3 6 46
4 8 174
1 2 876
5 6 129
6 5
0 4 282
2 4 360
1 4 715
3 5 864
0 5 404
10 45
6 6 208
0 6 279
8 9 884
4 7 256
0 7 509
4 6 994
2 4 930
8 8 606
4 8 276
2 5 272
0 4 234
1 7 432
1 5 320
6 9 819
1 4 368
3 6 773
5 7 210
2 9 289
6 7 699
2 6 880
3 4 270
0 3 619
1 6 653
1 3 231
3 8 43
2 3 702
5 6 341
2 2 354
3 5 173
4 4 980
1 9 877
4 5 466
5 8 155
2 7 531
5 5 1
7 8 60
0 2 339
0 1 468
3 7 957
1 8 919
0 5 551
2 8 978
1 2 456
0 8 904
0 9 207
8 28
2 2 37
6 7 18
1 4 432
0 4 640
4 6 368
1 2 65
1 6 217
3 4 491
2 3 758
6 6 676
1 7 836
2 6 962
0 6 953
2 5 856
7 7 786
5 6 452
0 5 781
2 7 744
3 7 954
4 7 529
0 1 380
3 6 35
3 5 551
0 2 824
0 3 107
5 5 827
1 5 711
0 7 858
9 15
0 8 928
5 8 136
3 5 397
3 7 700
6 8 628
2 8 998
4 8 121
0 3 791
1 2 998
2 7 124
0 4 791
7 7 148
0 1 429
4 7 333
5 7 889
6 15
0 1 766
3 5 495
1 5 238
2 2 767
3 4 206
1 3 933
2 3 69
0 4 106
0 3 785
2 4 802
1 2 513
0 0 725
4 5 575
0 2 401
1 4 848
3 3
1 2 185
2 2 18
0 2 113
10 44
4 9 260
2 8 313
6 7 912
2 6 631
3 7 73
1 9 202
9 9 606
4 6 488
2 9 825
1 7 740
6 8 880
5 8 153
3 5 890
1 1 112
0 7 121
4 8 541
5 6 298
1 6 410
0 1 140
7 7 950
3 6 397
1 8 268
5 9 236
0 3 781
2 4 51
4 7 902
2 7 921
3 8 756
0 8 289
1 3 394
2 3 453
1 5 493
0 5 490
5 5 663
1 2 646
0 9 841
7 9 467
3 4 396
1 4 214
3 9 465
4 5 48
2 5 898
6 9 772
0 2 129
3 3
1 2 281
0 1 924
0 2 584
3 3
0 2 871
1 2 773
1 1 717
7 21
0 3 687
2 5 237
4 6 958
0 2 156
1 6 809
1 3 678
0 5 140
2 3 256
5 5 492
1 5 981
3 6 193
4 4 820
0 0 640
4 5 935
2 6 846
0 1 381
0 6 241
2 4 191
3 5 728
2 2 505
1 2 473
6 15
2 4 250
5 5 229
0 4 521
1 2 845
3 5 327
0 0 304
1 1 943
2 5 258
3 4 699
4 5 182
1 4 446
1 3 125
1 5 941
0 3 827
2 3 57
4 6
2 3 953
2 2 897
0 0 730
0 2 162
0 3 57
1 2 200
6 15
2 5 115
3 4 39
0 1 552
4 5 853
3 3 453
0 5 412
1 3 181
1 5 665
2 4 571
1 2 909
0 0 803
0 3 63
1 4 181
2 3 940
3 5 34
4 6
1 1 181
2 3 82
3 3 385
1 3 598
0 2 404
1 2 54
9 11
6 8 15
2 6 343
0 3 513
1 6 275
4 6 292
2 3 880
5 6 37
0 7 940
6 7 795
3 8 539
0 2 524
9 36
2 5 591
1 5 752
0 8 865
0 4 326
3 4 224
5 5 720
6 6 502
3 8 222
0 3 697
1 1 828
4 8 708
4 7 885
2 6 771
7 8 622
5 8 1
0 1 29
1 3 801
0 0 14
6 7 184
3 3 409
2 7 120
0 2 944
1 2 87
5 7 990
4 5 293
3 5 303
1 8 172
0 7 225
3 7 29
1 6 723
6 8 577
2 3 973
2 8 882
3 6 745
2 4 29
1 4 175
7 21
4 5 415
0 5 555
0 2 44
0 1 393
1 3 261
0 3 483
3 4 219
2 6 963
5 5 574
5 6 22
2 4 308
1 5 538
1 2 757
0 4 313
1 6 137
2 5 847
2 2 957
0 6 854
4 4 548
3 3 906
3 5 595
7 21
3 3 32
4 4 166
1 4 881
0 6 259
4 6 725
0 2 950
0 1 656
0 0 548
2 6 583
1 3 289
1 5 686
2 3 917
2 5 832
5 6 111
0 5 31
1 2 699
0 3 293
1 6 12
3 4 619
3 6 402
4 5 550
8 7
0 7 795
0 1 971
4 7 585
2 7 7
1 3 739
5 6 682
3 5 653
6 15
0 1 307
0 2 958
5 5 426
0 5 441
1 2 136
0 3 45
1 3 659
3 3 904
2 3 617
1 5 274
1 4 386
0 4 685
2 5 980
2 4 629
3 4 810
7 21
0 5 121
1 5 168
2 2 120
4 5 391
0 4 605
2 5 809
2 4 117
3 5 784
1 3 872
0 6 495
3 3 784
3 4 593
1 6 567
5 6 301
1 1 5
0 1 479
4 6 615
1 2 484
2 6 159
2 3 34
0 2 478
9 36
1 3 120
6 7 80
3 8 110
0 7 184
0 1 435
1 4 734
2 5 185
7 8 159
3 5 14
1 8 930
4 6 959
5 6 959
6 8 559
5 5 203
1 2 459
4 5 965
3 7 427
0 0 589
0 3 447
2 3 792
0 4 983
3 4 26
2 7 262
1 7 131
1 6 22
0 2 43
4 7 264
3 3 924
3 6 180
1 5 380
2 6 952
6 6 919
2 8 740
1 1 617
4 8 630
0 8 770
8 13
1 2 134
2 6 926
0 3 219
4 5 613
0 2 76
0 1 15
5 6 238
3 7 531
1 7 350
5 7 231
4 4 90
2 2 863
2 3 863
2 1
0 1 319
8 28
2 4 429
5 5 666
3 6 586
1 1 805
6 7 98
5 7 446
3 4 864
1 2 793
0 6 482
5 6 445
1 7 119
0 2 586
7 7 328
2 3 158
1 6 35
0 0 483
2 7 78
0 7 935
0 3 30
0 1 457
1 3 426
4 6 581
3 5 346
4 5 491
4 7 902
1 4 242
0 5 135
1 5 119
4 6
1 3 755
3 3 452
0 3 390
2 2 634
0 2 538
2 3 991
8 23
1 7 813
3 3 103
2 5 231
7 7 986
5 7 259
2 7 103
2 4 999
0 1 159
0 5 488
4 6 717
3 4 675
1 2 22
5 6 725
0 6 251
1 4 777
4 5 476
1 6 958
0 2 347
0 7 951
0 0 810
3 7 864
6 7 510
2 3 399
6 15
4 5 451
0 1 966
2 3 10
1 4 438
0 2 48
0 3 799
3 3 536
3 4 115
0 4 861
5 5 126
3 5 108
1 2 914
2 5 518
1 3 731
0 5 568
10 45
4 9 833
2 3 40
2 6 702
3 4 515
7 7 651
1 6 224
3 8 557
0 5 883
4 5 986
6 7 922
7 9 937
0 3 925
4 4 23
6 6 927
0 1 985
1 1 350
4 8 122
4 6 307
1 7 267
0 2 206
5 7 182
3 5 606
1 5 823
1 8 57
3 9 843
2 8 818
1 9 767
2 9 525
2 5 399
5 6 785
5 9 549
3 7 551
2 4 579
9 9 197
2 7 382
0 4 466
7 8 183
1 2 5
5 8 911
0 7 517
3 3 390
4 7 236
1 3 75
8 8 648
6 9 915
2 1
0 1 837
8 28
2 3 349
5 7 145
7 7 32
0 4 255
0 7 54
3 3 150
3 4 574
0 1 105
3 6 153
0 5 666
1 1 8
6 7 165
1 4 17
4 7 838
1 6 356
3 5 191
0 2 99
6 6 394
1 5 755
5 6 527
4 4 830
1 3 905
0 6 423
0 3 458
4 6 663
2 5 577
1 2 601
2 2 433
10 17
3 4 240
1 4 484
6 6 386
0 8 136
5 9 829
7 9 343
8 9 954
4 6 805
2 7 366
0 1 704
5 7 312
3 8 874
7 8 878
2 6 538
4 9 604
6 8 714
2 9 136
2 1
0 1 425
7 21
0 6 766
1 3 78
0 0 215
2 4 588
3 4 24
3 5 547
1 5 733
4 6 225
1 6 350
0 1 906
5 6 752
1 2 77
2 2 899
4 4 189
2 6 817
3 3 576
0 2 37
1 1 368
2 5 704
2 3 454
4 5 479
10 45
4 9 866
7 7 539
1 3 974
6 7 734
6 8 979
5 7 687
0 6 29
4 7 847
2 8 398
2 5 431
2 9 290
0 7 791
1 7 215
3 6 852
5 6 422
4 5 314
4 6 962
8 9 789
6 9 455
0 5 16
2 6 396
1 9 196
8 8 889
3 5 807
0 3 817
9 9 550
7 9 754
1 4 671
2 7 356
3 8 436
3 9 937
0 9 769
1 8 952
1 2 889
1 1 431
5 8 543
1 6 310
3 7 955
3 4 133
0 1 485
5 9 998
4 8 758
2 3 77
2 2 774
2 4 653
8 9
3 7 682
2 4 562
3 5 168
1 2 363
4 5 878
2 3 78
4 6 716
1 7 101
0 7 838
6 15
4 4 914
1 2 637
0 2 528
0 1 490
1 1 743
1 4 908
4 5 348
2 3 966
0 5 756
1 5 558
2 5 504
3 5 649
1 3 662
0 4 152
0 3 177
6 15
3 5 234
1 4 7
3 4 169
1 1 679
5 5 689
1 5 161
1 2 709
0 5 101
2 5 473
4 4 406
0 2 335
1 3 832
0 1 221
0 3 373
2 4 148
10 45
4 9 943
0 5 346
7 8 285
6 8 640
4 6 125
2 7 275
3 5 119
8 8 516
2 8 27
3 4 643
3 3 825
1 4 390
0 1 388
6 9 796
5 6 848
3 7 682
6 7 619
2 9 436
1 7 441
0 2 8
3 8 960
6 6 409
5 7 557
5 9 602
2 3 536
1 1 495
4 7 748
2 2 6
5 8 421
1 6 873
1 5 144
4 8 410
7 9 285
4 4 369
2 5 272
4 5 641
0 4 362
0 9 13
1 9 325
0 3 557
1 3 210
0 0 572
3 9 287
3 6 91
9 9 81
6 15
4 4 85
1 4 933
3 4 961
0 2 560
4 5 658
3 5 828
0 1 646
1 5 848
1 3 899
1 2 923
2 3 549
0 3 117
0 4 366
2 4 658
2 5 936
5 10
0 3 278
0 4 725
1 2 571
3 4 937
1 4 479
1 3 145
0 1 846
2 4 53
0 2 216
4 4 975
3 3
0 1 289
1 2 670
0 0 377
5 10
1 3 453
2 4 878
1 1 592
1 4 657
4 4 890
2 2 301
0 3 943
3 4 814
1 2 286
0 1 455
7 21
2 4 345
0 0 363
4 5 942
0 3 928
3 4 817
1 1 719
1 5 616
1 6 49
0 1 806
0 4 642
0 6 444
1 4 61
1 3 829
3 5 297
1 2 182
2 5 597
4 4 683
5 6 419
2 3 44
0 5 798
2 6 357
5 10
1 4 223
1 2 100
2 4 901
1 3 629
0 1 222
3 4 544
0 3 108
4 4 945
0 4 702
0 2 702
9 36
2 6 996
0 6 204
1 2 573
1 7 694
3 8 474
2 2 884
4 6 736
0 0 473
6 8 349
2 8 733
5 6 999
4 8 746
2 3 998
5 5 327
2 7 210
4 7 146
4 5 736
3 7 565
0 7 33
5 8 455
3 4 454
1 6 415
6 6 992
1 8 244
7 8 370
0 8 283
0 5 715
2 5 323
0 4 549
1 5 824
0 3 708
5 7 314
3 6 670
1 3 455
0 1 841
0 2 560
6 15
0 4 108
1 5 240
3 4 462
0 5 183
1 2 226
3 5 758
0 2 835
0 1 818
0 0 991
4 5 833
2 5 594
2 3 344
1 3 909
0 3 718
1 4 36
10 45
0 2 417
2 6 375
0 4 273
4 8 18
7 7 667
7 8 436
4 9 701
7 9 214
6 8 617
0 8 681
5 5 360
6 7 275
4 5 715
5 7 753
1 8 886
8 9 550
0 0 759
4 7 55
5 9 641
1 7 529
2 9 165
3 4 344
4 6 846
3 6 292
1 3 308
2 2 583
2 8 31
6 9 80
1 6 708
6 6 543
0 5 824
5 6 599
1 2 367
1 4 669
1 9 725
2 7 667
1 5 513
3 7 106
2 3 270
0 1 524
0 6 73
3 9 596
5 8 668
2 4 903
0 7 210
2 1
0 1 671
10 45
0 5 316
0 7 157
6 8 404
4 5 35
2 6 124
6 7 445
1 6 331
2 3 891
8 9 221
3 3 204
4 8 790
5 5 70
5 9 139
5 6 598
3 4 620
2 9 866
0 9 25
9 9 417
4 6 564
2 5 260
3 8 835
2 7 672
5 8 26
1 3 726
0 8 318
0 4 269
0 0 584
1 2 290
6 9 433
0 6 845
4 7 836
4 4 338
1 7 84
4 9 641
3 7 557
3 6 391
0 2 307
2 8 260
2 2 976
1 8 930
1 5 969
7 7 105
2 4 888
6 6 978
7 8 633
4 6
1 2 280
0 0 671
0 3 576
1 3 730
1 1 727
0 1 780
9 36
7 8 764
4 6 52
2 7 92
6 6 668
3 8 636
7 7 672
6 7 733
1 6 162
3 3 633
5 8 475
1 8 511
3 5 189
2 6 824
4 4 860
1 2 156
6 8 95
0 3 248
3 4 255
0 8 566
0 1 724
2 2 910
0 6 72
1 7 647
0 4 590
2 8 656
4 8 570
5 6 219
1 3 364
2 5 37
1 5 883
4 7 303
5 5 814
1 4 475
5 7 593
2 3 693
0 7 592
7 6
1 5 212
1 6 282
0 6 584
3 6 645
1 4 479
2 4 846
4 6
0 0 163
1 2 957
2 3 172
0 2 653
0 3 205
1 3 539
2 1
0 1 135
2 1
0 1 316
9 36
0 7 737
4 6 62
2 6 984
0 1 849
0 5 844
2 2 194
2 4 664
3 8 412
2 7 353
1 7 24
1 5 950
0 4 1
5 8 252
1 3 275
1 8 953
1 6 779
2 5 1000
3 6 816
4 7 204
6 8 733
0 8 895
4 5 266
1 1 366
5 6 235
3 5 397
7 8 664
2 3 381
0 3 119
3 4 463
2 8 922
1 2 932
0 6 807
3 3 892
1 4 267
5 7 639
3 7 845
8 28
2 5 58
3 5 387
5 6 235
3 3 529
3 4 123
1 4 23
2 7 70
4 7 216
1 7 461
2 4 716
1 2 188
0 5 78
0 7 699
0 6 90
2 3 134
3 6 456
0 3 216
0 2 730
0 4 605
1 3 481
1 6 588
3 7 727
5 5 866
4 6 372
5 7 551
1 5 947
0 1 435
6 7 907
2 1
0 1 828
7 21
4 6 896
5 6 650
2 2 979
1 4 533
0 1 996
0 4 282
1 6 326
2 6 229
2 5 113
2 4 391
1 3 452
6 6 835
0 6 337
0 2 699
3 6 274
4 5 998
1 1 492
0 5 147
2 3 44
1 5 384
0 3 848
5 10
4 4 762
3 4 512
0 3 423
3 3 754
2 4 647
0 1 717
0 2 651
1 2 395
1 4 93
1 3 567
9 31
5 7 479
0 3 652
5 8 267
4 4 959
4 8 105
3 8 159
7 8 969
1 2 855
0 6 529
0 0 349
3 5 372
3 6 487
6 8 34
8 8 742
3 4 350
0 1 758
5 6 661
4 5 546
2 8 117
0 2 590
2 4 391
0 4 126
7 7 367
2 6 62
2 3 922
1 5 297
3 7 988
4 6 10
1 6 106
2 7 244
1 8 751
10 9
0 9 552
4 7 63
6 8 659
3 4 226
1 9 886
0 8 693
2 4 256
7 8 863
5 6 3
3 3
0 2 27
2 2 797
1 2 770
2 1
0 1 16
5 4
1 4 946
3 4 462
1 2 297
0 2 757
2 1
0 1 453
8 28
1 6 867
7 7 323
5 6 967
0 7 647
4 7 211
6 6 386
0 0 712
3 5 361
3 3 941
3 6 143
1 4 949
5 7 772
0 3 273
0 2 397
3 7 718
0 4 367
0 5 704
1 2 177
2 6 344
0 6 117
1 5 717
2 5 428
2 7 471
1 7 383
2 3 42
3 4 972
2 4 526
6 7 3
3 3
0 1 127
0 0 846
0 2 88
2 1
0 1 320
9 8
1 5 519
1 8 486
0 2 486
0 4 707
2 8 89
5 6 293
1 7 849
3 8 498
